,STATION,LAT,LON,ELEV,DATE,PRCP,TMAX,TMIN,SNOW,SNWD
599638,USC00447338,36.9769,-79.8961,400.8,731186,0,33,-28,0,0
599743,USC00447338,36.9769,-79.8961,400.8,731187,0,33,-28,0,0
599848,USC00447338,36.9769,-79.8961,400.8,731188,0,33,-28,0,0
599953,USC00447338,36.9769,-79.8961,400.8,731189,0,33,-28,0,0
600058,USC00447338,36.9769,-79.8961,400.8,731190,0,33,-28,0,0
600163,USC00447338,36.9769,-79.8961,400.8,731191,0,33,-28,0,0
600268,USC00447338,36.9769,-79.8961,400.8,731192,0,33,-28,0,0
600373,USC00447338,36.9769,-79.8961,400.8,731193,0,33,-28,0,0
600478,USC00447338,36.9769,-79.8961,400.8,731194,0,33,-28,0,0
600583,USC00447338,36.9769,-79.8961,400.8,731195,0,33,-28,0,0
600688,USC00447338,36.9769,-79.8961,400.8,731196,0,33,-28,0,0
600793,USC00447338,36.9769,-79.8961,400.8,731197,0,33,-28,0,0
600898,USC00447338,36.9769,-79.8961,400.8,731198,0,33,-28,0,0
601003,USC00447338,36.9769,-79.8961,400.8,731199,0,33,-28,0,0
601108,USC00447338,36.9769,-79.8961,400.8,731200,0,33,-28,0,0
601213,USC00447338,36.9769,-79.8961,400.8,731201,0,33,-28,0,0
601318,USC00447338,36.9769,-79.8961,400.8,731202,0,33,-28,0,0
